datasheet_id,name,description,range,type,A,BS_WS,S,AP,D
7,Twin dakkagun,"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",18,Ranged,3,5,5,0,1
7,Big choppa,,Melee,Melee,4,3,7,-1,2
7,Choppa,,Melee,Melee,4,3,5,-1,1
7,Close combat weapon,,Melee,Melee,4,3,5,0,1
7,Killsaw,,Melee,Melee,3,4,12,-3,2
7,Power klaw,,Melee,Melee,4,4,9,-2,2
8,Mork’s Roar,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 4</a>",36,Ranged,12,5,5,0,1
8,Gork’s Klaw - strike,,Melee,Melee,6,2,14,-3,4
8,Gork’s Klaw - sweep,,Melee,Melee,12,2,8,-2,2
8,Makari’s stabba,"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>",Melee,Melee,1,4,3,0,1
9,Da Rippa – standard,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",24,Ranged,3,5,7,-2,2
9,Da Rippa – supercharge,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",24,Ranged,3,5,8,-3,3
9,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,4,4,0,1
9,Choppa,,Melee,Melee,6,2,5,-1,1
10,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
10,Da Vulcha’s Klaws and choppa,,Melee,Melee,6,2,8,-2,2
11,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,4,4,0,1
11,Mork’s Teeth,"<a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",Melee,Melee,6,2,6,-1,2
12,Kustom mega-slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",12,Ranged,D3,5,8,-2,D6
12,Killsaw,,Melee,Melee,1,4,12,-3,2
12,Wrench,,Melee,Melee,3,3,4,0,1
13,Power klaw,,Melee,Melee,3,4,9,-2,2
13,’Urty syringe,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>",Melee,Melee,1,3,2,0,1
14,Twin dakkagun,"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",18,Ranged,3,5,5,0,1
14,Killsaw,,Melee,Melee,2,4,12,-3,2
14,Power klaw,,Melee,Melee,3,4,9,-2,2
14,’Urty syringe,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>",Melee,Melee,1,3,2,0,1
15,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
15,Power klaw,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",Melee,Melee,4,3,9,-2,2
15,’Urty syringe,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>",Melee,Melee,1,3,2,0,1
16,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
16,Kombi-weapon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",24,Ranged,1,5,4,0,1
16,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
16,Shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",18,Ranged,2,5,4,0,1
16,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
16,Big choppa,,Melee,Melee,3,3,7,-1,2
16,Choppa,,Melee,Melee,3,3,4,-1,1
16,Close combat weapon,,Melee,Melee,2,3,4,0,1
16,Power klaw,,Melee,Melee,3,4,9,-2,2
17,Grot blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,4,3,0,1
17,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
17,Close combat weapon,,Melee,Melee,1,5,2,0,1
17,Runtherd tools,,Melee,Melee,3,3,5,0,1
19,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
19,Burna,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,4,0,1
19,Kustom mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",24,Ranged,3,5,9,-2,D6
19,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
19,Close combat weapon,,Melee,Melee,3,3,4,0,1
19,Cuttin’ flames,,Melee,Melee,2,4,4,-2,1
20,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
20,Rokkit pistol,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,9,-2,3
20,Choppa,,Melee,Melee,4,3,5,-1,1
20,Close combat weapon,,Melee,Melee,3,3,5,0,1
20,Smash hammer,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-monster 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-vehicle 4+</a>",Melee,Melee,2,3,6,-2,3
21,Kombi-weapon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",24,Ranged,1,5,4,0,1
21,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
21,Big choppa,,Melee,Melee,3,3,7,-1,2
21,Close combat weapon,,Melee,Melee,3,3,5,0,1
21,Power klaw,,Melee,Melee,3,4,9,-2,2
22,Kustom shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",18,Ranged,4,5,4,0,1
22,Waaagh! banner,,Melee,Melee,3,3,8,-2,2
23,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
23,Twin dakkagun,"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",18,Ranged,3,5,5,0,1
23,Big choppa,,Melee,Melee,3,3,7,-1,2
23,Choppa,,Melee,Melee,3,3,5,-1,1
23,Close combat weapon,,Melee,Melee,3,3,5,0,1
23,Killsaw,,Melee,Melee,2,4,12,-3,2
23,Power klaw,,Melee,Melee,3,4,9,-2,2
23,Power stabba,"<a href=""/wh40k10ed/the-rules/core-rules/#Lance"">lance</a>",Melee,Melee,3,4,8,-1,2
24,Kombi-weapon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",24,Ranged,1,5,4,0,1
24,Kustom shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",18,Ranged,4,5,4,0,1
24,Killsaw,,Melee,Melee,2,4,12,-3,2
24,Power klaw,,Melee,Melee,3,4,9,-2,2
24,Twin killsaw,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",Melee,Melee,2,4,12,-3,2
25,Burna,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,4,0,1
25,Speshul Kommando shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",18,Ranged,4,5,4,0,1
25,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
25,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
25,Big choppa,,Melee,Melee,4,3,7,-1,2
25,Breacha ram,,Melee,Melee,2,4,9,-2,2
25,Choppa,,Melee,Melee,3,3,4,-1,1
25,Close combat weapon,,Melee,Melee,2,3,4,0,1
25,Power klaw,,Melee,Melee,3,4,9,-2,2
26,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
26,Spiked wheels,,Melee,Melee,3,4,6,0,1
26,Wreckin’ ball,"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>",Melee,Melee,1,4,10,0,D6
27,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
27,Choppa,,Melee,Melee,3,3,4,-1,1
27,Power klaw,,Melee,Melee,3,4,9,-2,2
28,Kopta rokkits,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",24,Ranged,D3,5,9,-2,3
28,Kustom mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",24,Ranged,3,5,9,-2,D6
28,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
28,Spinnin’ blades,,Melee,Melee,6,3,5,0,1
29,Twin supa-shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,4,5,6,-1,1
29,Armoured hull,,Melee,Melee,3,4,6,0,1
30,Twin big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,5,5,0,1
30,Twin supa-shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,4,5,6,-1,1
30,Skorcha missile rack,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>",36,Ranged,2D6,5,5,-1,1
30,Armoured hull,,Melee,Melee,3,4,6,0,1
31,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
31,Twin supa-shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,4,5,6,-1,1
31,Armoured hull,,Melee,Melee,3,4,6,0,1
32,Smasha gun,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",48,Ranged,D3,4,9,-3,4
32,Twin wazbom mega-kannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,D3,4,12,-2,D6
32,Twin supa-shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,4,4,6,-1,1
32,Twin tellyport mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",24,Ranged,3,5,9,-1,D6+1
32,Armoured hull,,Melee,Melee,3,4,6,0,1
33,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
33,Twin dakkagun,"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",18,Ranged,3,5,5,0,1
33,Big choppa,,Melee,Melee,3,3,7,-1,2
33,Choppa,,Melee,Melee,3,3,4,-1,1
33,Close combat weapon,,Melee,Melee,2,3,4,0,1
33,Power klaw,,Melee,Melee,3,4,9,-2,2
34,Rack of rokkits,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3+1,5,9,-2,3
34,Twin big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,5,5,0,1
34,Spiked wheel,,Melee,Melee,2,4,6,0,1
35,Skorcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
35,Spiked wheel,,Melee,Melee,2,4,6,0,1
36,Rack of rokkits,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3+1,5,9,-2,3
36,Twin big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,5,5,0,1
36,Spiked wheels,,Melee,Melee,3,4,6,0,1
37,Kannon – frag,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",36,Ranged,D6,6,5,0,1
37,Kannon – shell,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",36,Ranged,1,6,9,-2,D6
37,Lobba,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",48,Ranged,D6,6,5,0,1
37,Zzap gun,"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",36,Ranged,1,6,2D6,-3,3
37,Close combat weapons,,Melee,Melee,2,3,4,0,1
38,Bubblechukka – big bubble,"bubblechukka, <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",48,Ranged,2D6,4,6,-1,1
38,Bubblechukka – wobbly bubble,"bubblechukka, <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",48,Ranged,D6,4,9,-2,3
38,Bubblechukka – dense bubble,"bubblechukka, <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",48,Ranged,D3,4,12,-3,D6+3
38,Kustom mega-kannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">BLAST</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">HAZARDOUS</a>",36,Ranged,D6,4,12,-1,D6
38,Smasha gun,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">BLAST</a>",48,Ranged,D3+1,4,9,-3,3
38,Traktor kannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">ANTI-FLY 2+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">DEVASTATING WOUNDS</a>",48,Ranged,1,4,10,-2,D6+1
38,Grot crew,,Melee,Melee,6,5,2,0,1
39,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
39,Kannon – frag,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",36,Ranged,D6+3,5,6,0,1
39,Kannon – shell,,36,Ranged,1,5,10,-2,D6
39,Killkannon,,24,Ranged,D6+1,5,9,-2,2
39,Lobba,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",48,Ranged,D6,5,5,0,1
39,Zzap gun,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-vehicle 4+</a>",36,Ranged,1,5,D6+6,-3,5
39,Deff rolla,,Melee,Melee,6,3,9,-1,2
39,Grabbin’ klaw,"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>",Melee,Melee,2,3,8,-2,2
39,Tracks and wheels,,Melee,Melee,6,4,8,0,1
39,Wreckin’ ball,"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>",Melee,Melee,1,4,10,0,D6
40,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
40,Kustom mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",24,Ranged,3,5,9,-2,D6
40,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
40,Skorcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
40,Dread klaw,dead choppy,Melee,Melee,4,3,12,-2,3
40,Stompy feet,,Melee,Melee,4,3,5,0,1
41,Kan shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,4,5,0,1
41,Grotzooka,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>",18,Ranged,D3+3,4,6,-1,1
41,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,4,9,-2,3
41,Skorcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
41,Kan klaw,,Melee,Melee,3,4,8,-2,3
42,Kustom mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",24,Ranged,3,5,9,-2,D6
42,Kustom mega-zappa,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",36,Ranged,D6+3,5,10,-2,D6
42,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
42,Twin big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,5,5,0,1
42,Klaw of Mork – strike,,Melee,Melee,4,3,18,-3,6
42,Klaw of Mork – sweep,,Melee,Melee,12,3,8,-1,2
43,Deffstorm mega-shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 10</a>",36,Ranged,20,5,6,-1,1
43,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
43,Skorcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
43,Twin big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,5,5,0,1
43,Klaw of Gork – strike,,Melee,Melee,5,3,18,-3,6
43,Klaw of Gork – sweep,,Melee,Melee,15,3,8,-1,2
44,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
44,Deffgun,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",48,Ranged,2,6,8,-1,2
44,Kustom mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",24,Ranged,3,5,9,-2,D6
44,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
44,Close combat weapon,,Melee,Melee,2,3,4,0,1
45,Snazzgun,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",24,Ranged,3,5,6,-1,2
45,Choppa,,Melee,Melee,4,3,5,-1,1
