datasheet_id,line,description
50,1,1 Grot Mega-Tank
51,1,1 Squiggoth
52,1,1 Meka-Dread
53,1,1 Lifta Wagon
54,1,1 Big Trakk
55,1,1 Kannonwagon
56,1,1 Kill Tank
57,1,1 Chinork Warkopta
59,1,1 Gargantuan Squiggoth
60,1,1 Apothecary Biologis
61,1,1 Assault Sergeant
61,2,4-9 Assault Marines
63,1,1 Apothecary on Bike
64,1,1 Assault Sergeant with Jump Pack
64,2,4-9 Assault Marines with Jump Packs
65,1,1 Land Raider
66,1,1 Land Raider Crusader
67,1,1 Land Raider Excelsior
68,1,1 Suppressor Sergeant
68,2,2 Suppressors
70,1,1 Tactical Sergeant
70,2,9 Tactical Marines
71,1,1 Bladeguard Veteran Sergeant
71,2,2-5 Bladeguard Veterans
72,1,1 Caestus Assault Ram
73,1,1 Captain
76,1,1 Lieutenant with Combi-weapon
79,1,1 Librarian in Terminator Armour
81,1,"1 Captain Sicarius – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
83,1,1 Captain with Jump Pack
84,1,1 Stormhawk Interceptor
85,1,1 Rhino Primaris
86,1,1-2 Firestrike Servo-turrets
87,1,1 Drop Pod
91,1,1 Ballistus Dreadnought
92,1,1 Sicaran Venator
93,1,1 Typhon
94,1,1 Chaplain on Bike
95,1,1 Chapter Champion
95,2,1 Ancient
95,3,2 Honour Guard
96,1,"1 Carab Culln the Risen – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
97,1,1 Hammerfall Bunker
98,1,1 Tarantula Sentry Battery
99,1,1 Tarantula Air Defence Battery
103,1,1 Eradicator Sergeant
103,2,2-5 Eradicators
104,1,1 Relic Terminator Sergeant
104,2,4-9 Relic Terminators
107,1,1 Javelin Attack Speeder
110,1,1 Rapier Carrier
111,1,1 Mortis Dreadnought
112,1,1 Chaplain with Jump Pack
113,1,1 Storm Eagle Gunship
114,1,1 Storm Speeder Hammerstrike
115,1,1 Chaplain in Terminator Armour
116,1,1 Biker Sergeant
116,2,2-5 Space Marine Bikers
116,3,0-1 Attack Bike
117,1,1 Dreadnought
118,1,1 Assault Terminator Sergeant
118,2,4-9 Assault Terminators
119,1,1 Librarian in Phobos Armour
120,1,1 Venerable Dreadnought
121,1,"1 Uriel Ventris – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
122,1,1 Dreadnought Drop Pod
123,1,1 Sicaran Punisher
124,1,1 Storm Speeder Hailstrike
125,1,1 Inceptor Sergeant
125,2,2-5 Inceptors
126,1,1 Infernus Sergeant
126,2,4-9 Infernus Marines
127,1,"1 Iron Father Feirros – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
128,1,1 Infiltrator Sergeant
128,2,4-9 Infiltrators
129,1,1 Razorback
131,1,1 Leviathan Dreadnought
132,1,1 Land Speeder Storm
134,1,4 Astartes Servitors
135,1,1 Captain in Terminator Armour
136,1,1 Brutalis Dreadnought
137,1,1 Scout Biker Sergeant
137,2,2-5 Scout Bikers
138,1,"1 Roboute Guilliman – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
139,1,1 Thunderhawk Gunship
140,1,1 Techmarine
146,1,1 Hunter
147,1,1 Vanguard Veteran Sergeant with Jump Pack
147,2,4-9 Vanguard Veterans with Jump Packs
148,1,1 Imperial Space Marine
151,1,"1 Commander Dante – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
152,1,"1 Captain Tycho – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
153,1,"1 Tycho the Lost – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
154,1,1 Librarian Dreadnought
155,1,"1 Chief Librarian Mephiston – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
156,1,"1 The Sanguinor – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
157,1,"1 Astorath – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
158,1,1 Sanguinary Priest
159,1,1 Sanguinary Priest on Bike
160,1,"1 Brother Corbulo – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
164,1,"1 Lemartes – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
165,1,3-6 Sanguinary Guard
166,1,1 Death Company Dreadnought
167,1,1 Furioso Dreadnought
168,1,1 Baal Predator
169,1,"1 Gabriel Seth – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
218,1,"1 Azrael – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
219,1,"1 Belial – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
225,1,"1 Asmodai – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
226,1,"1 Ezekiel – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
230,1,1 Deathwing Sergeant
230,2,4-9 Deathwing Terminators
231,1,1 Knight Master
231,2,4 Deathwing Knights
238,1,1 Ravenwing Darkshroud
239,1,1 Nephilim Jetfighter
240,1,1 Ravenwing Dark Talon
241,1,1 Ravenwing Huntmaster
241,2,2-5 Ravenwing Black Knights
242,1,1 Land Speeder Vengeance
243,1,1 Fortress of Redemption
282,1,"1 Logan Grimnar – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
285,1,"1 Ragnar Blackmane – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
292,1,"1 Njal Stormcaller – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
297,1,"1 Ulrik the Slayer – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
302,1,"1 Bjorn the Fell-Handed– <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
303,1,1 Blood Claw Pack Leader
303,2,9-19 Blood Claws
305,1,1 Grey Hunter Pack Leader
305,2,9 Grey Hunters
306,1,1 Iron Priest
308,1,1 Iron Priest on Thunderwolf
311,1,5-10 Wulfen
314,1,"1 Murderfang – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
317,1,"1 Arjac Rockfist – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
318,1,1 Wolf Guard Terminator Pack Leader
318,2,4-9 Wolf Guard Terminators
322,1,1 Thunderwolf Cavalry Pack Leader
322,2,2-5 Thunderwolf Cavalry
323,1,5-10 Fenrisian Wolves
358,1,1 Corvus Blackstar
374,1,"1 Grand Master Voldus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
375,1,1 Grand Master
376,1,1 Brother-Captain
379,1,1 Brotherhood Champion
380,1,"1 Castellan Crowe – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
381,1,1 Justicar
381,2,4-9 Grey Knights
382,1,1 Justicar
382,2,3-9 Terminators
383,1,1 Knight of the Flame
383,2,4-9 Purifiers
384,1,1 Paragon
384,2,3-9 Paladins
387,1,1 Interceptor Justicar
387,2,4-9 Interceptors
388,1,1 Purgator Justicar
388,2,4-9 Purgators
389,1,1 Nemesis Dreadknight
390,1,1 Grey Knights Dreadnought
391,1,1 Land Raider
392,1,1 Land Raider Crusader
393,1,1 Land Raider Redeemer
395,1,1 Razorback
396,1,1 Rhino
398,1,1 Stormraven Gunship
399,1,1 Brotherhood Techmarine
400,1,1 Venerable Dreadnought
402,1,1 Commander in Coldstar Battlesuit
403,1,4-12 Tactical Drones
404,1,1 Ethereal
405,1,1 Cadre Fireblade
406,1,"1 Commander Farsight – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
407,1,"1 Commander Shadowsun – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
408,1,"1 Aun’Shi – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
409,1,"1 Aun’Va – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
409,2,2 Ethereal Guards
410,1,"1 Darkstrider – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
411,1,1 Fire Warrior Shas’ui
411,2,9 Fire Warriors
412,1,1 Breacher Fire Warrior Shas’ui
412,2,9 Breacher Fire Warriors
413,1,1 Long-quill
413,2,9-19 Kroot Carnivores
414,1,1-3 Krootox Riders
415,1,5-10 Kroot Hounds
417,1,1 Stealth Shas’vre
417,2,2-5 Stealth Shas’ui
418,1,1 Crisis Shas’vre
418,2,2-5 Crisis Shas’ui
420,1,1 Ghostkeel Battlesuit
421,1,1 Riptide Battlesuit
422,1,1 Pathfinder Shas’ui
422,2,9 Pathfinders
423,1,1-3 Piranhas
424,1,1 Devilfish
425,1,1 Razorshark Strike Fighter
426,1,1 Sun Shark Bomber
427,1,1 Vespid Strain Leader
427,2,4-9 Vespid Stingwings
428,1,1 Firesight Marksman
430,1,1 Sky Ray Gunship
431,1,"1 Longstrike – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
432,1,1 Hammerhead Gunship
433,1,1 Broadside Shas’vre
433,2,0-2 Broadside Shas’ui
434,1,1 Stormsurge
435,1,1 Tidewall Droneport
436,1,1 Tidewall Shieldline
437,1,1 Tidewall Gunrig
439,1,"1 Shas'o R'alai – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
443,1,1-2 XV9 Hazard Battlesuits
444,1,1 Y’vahra Battlesuit
445,1,1 R’varna Battlesuit
446,1,1 Ta’unar Supremacy Armour
447,1,2-4 Tetras
448,1,1 TX42 Piranha
449,1,2 Heavy Gun Drones
452,1,2 Remora Stealth Drones
453,1,1 Barracuda
454,1,1 Tiger Shark
455,1,1 AX-1-0 Tiger Shark
456,1,1 Orca Dropship
457,1,1 Manta
458,1,1 Remote Sensor Tower
459,1,1 Drone Sentry Turret
460,1,1 Hive Tyrant
461,1,"1 Swarmlord – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
462,1,"1 Old One Eye – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
463,1,1 Broodlord
465,1,1 Tervigon
467,1,5-10 Genestealers
468,1,10-20 Termagants
469,1,10-20 Hormagaunts
470,1,1-3 Ripper Swarms
471,1,3-6 Tyrant Guard
472,1,3-6 Hive Guard
473,1,1 Lictor
474,1,1 Maleceptor
475,1,1 Neurothrope
475,2,2-5 Zoanthropes
476,1,3-6 Venomthropes
477,1,1-3 Pyrovores
478,1,1 Haruspex
479,1,"1 Deathleaper – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
482,1,5 Raveners
483,1,3 Sky-slasher Swarms
484,1,10-20 Gargoyles
485,1,1 Harpy
486,1,1 Hive Crone
487,1,1-2 Mucolid Spores
488,1,3-6 Spore Mines
489,1,1 Tyrannocyte
490,1,1-2 Carnifexes
491,1,1-3 Biovores
493,1,1 Trygon
494,1,1 Mawloc
495,1,1 Exocrine
496,1,1 Tyrannofex
497,1,1 Toxicrene
498,1,1 Sporocyst
499,1,1 Malanthrope
500,1,1 Dimachaeron
503,1,1 Barbed Hierodule
504,1,1 Harridan
505,1,1 Hierophant
506,1,1 Scythed Hierodule
507,1,1 Patriarch
508,1,1 Magus
509,1,1 Primus
510,1,1 Acolyte Iconward
511,1,1 Acolyte Leader
511,2,4-9 Acolyte Hybrids
512,1,1 Neophyte Leader
512,2,9-19 Neophyte Hybrids
513,1,1 Metamorph Leader
513,2,4-9 Hybrid Metamorphs
514,1,1 Aberrant Hypermorph
514,2,4-9 Aberrants
515,1,5-10 Purestrain Genestealers
516,1,1 Goliath Truck
521,1,1 Goliath Rockgrinder
522,1,"1 Imotekh the Stormlord – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
523,1,1 Overlord
524,1,1 Lord
527,1,"1 Nemesor Zahndrekh – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
528,1,"1 Vargard Obyron – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
530,1,"1 Orikan the Diviner – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
531,1,"1 Anrakyr the Traveller – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
532,1,"1 Trazyn the Infinite – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
533,1,1 Catacomb Command Barge
534,1,10-20 Necron Warriors
535,1,5-10 Immortals
536,1,5-10 Lychguard
537,1,5-10 Deathmarks
538,1,5-10 Flayed Ones
539,1,5-10 Triarch Praetorians
540,1,1 Triarch Stalker
541,1,"1 C’tan Shard of the Nightbringer – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
542,1,"1 C’tan Shard of the Deceiver – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
543,1,1 Ghost Ark
544,1,1 Night Scythe
545,1,1 Doom Scythe
546,1,3-6 Canoptek Wraiths
548,1,3-6 Tomb Blades
551,1,1-2 Canoptek Spyders
552,1,1 Monolith
553,1,1 Annihilation Barge
554,1,1 Doomsday Ark
555,1,1 Transcendent C’tan
556,1,1 Tesseract Vault
557,1,1 Obelisk
558,1,1 Canoptek Tomb Stalker
559,1,3-6 Canoptek Acanthrites
560,1,1 Canoptek Tomb Sentinel
561,1,1 Night Shroud
562,1,1 Sentry Pylon
564,1,1 Tesseract Ark
567,1,1 Gauss Pylon
568,1,"1 Eldrad Ulthran – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
569,1,"1 Prince Yriel – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
570,1,"1 Illic Nightspear – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
571,1,"1 Asurmen – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
572,1,"1 Jain Zar – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
573,1,"1 Karandras – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
574,1,"1 Fuegan – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
575,1,"1 Baharroth – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
576,1,1 Maugan Ra
577,1,1 Autarch
580,1,1 Autarch Skyrunner
581,1,"1 Avatar of Khaine – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
582,1,1 Farseer
583,1,1 Farseer Skyrunner
584,1,2-4 Warlocks
585,1,1 Warlock
587,1,1-2 Warlock Skyrunners
588,1,1 Spiritseer
589,1,10 Guardian Defenders
589,2,1 Heavy Weapon Platform
590,1,10 Storm Guardians
590,2,1 Serpent’s Scale Platform
591,1,3-6 Windriders
592,1,5-10 Rangers
593,1,1 Dire Avenger Exarch
593,2,4-9 Dire Avengers
594,1,1 Howling Banshee Exarch
594,2,4-9 Howling Banshees
595,1,1 Striking Scorpion Exarch
595,2,4-9 Striking Scorpions
596,1,1 Fire Dragon Exarch
596,2,4-9 Fire Dragons
597,1,5 Wraithguard
598,1,5 Wraithblades
599,1,1 Wave Serpent
600,1,1 Swooping Hawk Exarch
600,2,4-9 Swooping Hawks
601,1,1 Warp Spider Exarch
601,2,4-9 Warp Spiders
602,1,1 Shining Spear Exarch
602,2,2-5 Shining Spears
603,1,1 Crimson Hunter
605,1,1-2 Vypers
606,1,1 Hemlock Wraithfighter
607,1,1 Dark Reaper Exarch
607,2,4-9 Dark Reapers
609,1,1 Falcon
610,1,1 Fire Prism
611,1,1 Night Spinner
612,1,1-2 War Walkers
613,1,1 Wraithlord
614,1,1 Wraithknight
615,1,0-1 Shadow Spectre Exarch
615,2,5-10 Shadow Spectres
616,1,1 Wasp Assault Walker
617,1,1 Wraithseer
618,1,1 Hornet
619,1,1 Warp Hunter
620,1,1 Lynx
621,1,1 Scorpion
622,1,1 Cobra
623,1,1 Nightwing
624,1,1 Phoenix
625,1,1 Vampire Raider
626,1,1 Vampire Hunter
627,1,1 Skathach Wraithknight
628,1,1 Revenant Titan
629,1,0-1 Cloud Dancer Felarch
629,2,3-6 Corsair Cloud Dancers
630,1,"1 Irillyth – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
631,1,1 Phantom Titan
632,1,0-1 Corsair Reaver Felarch
632,2,5-10 Corsair Reavers
633,1,0-1 Corsair Skyreaver Felarch
633,2,5-10 Corsair Skyreavers
634,1,1 Archon
639,1,1 Succubus
640,1,"1 Lelith Hesperax – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
641,1,1 Haemonculus
642,1,"1 Urien Rakarth – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
643,1,"1 Drazhar – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
644,1,1 Sybarite
644,2,9 Kabalite Warriors
646,1,1 Hekatrix
646,2,9 Wyches
648,1,1 Klaivex
648,2,4-9 Incubi
649,1,1 Nightfiend
649,2,4-9 Mandrakes
650,1,1 Acothyst
650,2,4-9 Wracks
651,1,3-6 Grotesques
652,1,1 Beastmaster
652,2,1 Clawed Fiends
652,3,2 Khymerae
652,4,3 Razorwing Flocks
656,1,1 Raider
657,1,1 Venom
658,1,1 Arena Champion
658,2,2-5 Reavers
659,1,1 Helliarch
659,2,4-9 Hellions
660,1,1 Razorwing Jetfighter
661,1,1 Voidraven Bomber
662,1,1 Solarite
662,2,4-9 Scourges
663,1,1-2 Talos
664,1,1-2 Cronos
665,1,1 Ravager
666,1,1 Reaper
667,1,1 Tantalus
680,1,1 Leman Russ Commander
686,1,3 Heavy Weapons Teams
690,1,1-2 Scout Sentinels
691,1,1-2 Armoured Sentinels
692,1,1 Chimera
693,1,1 Taurox
694,1,1 Hellhound
695,1,1 Basilisk
696,1,1 Hydra
697,1,1 Wyvern
698,1,1 Manticore
699,1,1 Deathstrike
700,1,1 Leman Russ Battle Tank
701,1,1 Leman Russ Demolisher
702,1,1 Baneblade
703,1,1 Banehammer
704,1,1 Banesword
705,1,1 Doomhammer
706,1,1 Hellhammer
707,1,1 Shadowsword
708,1,1 Stormlord
709,1,1 Stormsword
713,1,"1 ‘Iron Hand’ Straken – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
714,1,"1 Sergeant Harker – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
716,1,1 Commissar
719,1,1 Tempestor Prime
719,2,4 Tempestus Scions
721,1,1 Taurox Prime
722,1,1 Ogryn Bone ‘ead
722,2,2-5 Ogryns
723,1,1 Bullgryn Bone ‘ead
723,2,2-5 Bullgryns
724,1,5-10 Ratlings
725,1,"1 Nork Deddog – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
727,1,1 Valkyrie
728,1,1 Atlas Recovery Vehicle
729,1,1 Salamander Command Vehicle
730,1,1 Hades Breaching Drill
731,1,1 Centaur Light Carrier
733,1,1 Trojan Support Vehicle
735,1,1 Salamander Scout Vehicle
736,1,1 Tauros Assault Vehicle
737,1,1 Tauros Venator
739,1,1 Armageddon-pattern Medusa
740,1,1 Colossus
741,1,1 Cyclops Demolition Vehicle
743,1,1 Earthshaker Carriage
744,1,1 Griffon Mortar Carrier
745,1,1 Heavy Mortar Team
746,1,1 Heavy Quad Launcher Team
747,1,1 Hydra Platform
751,1,1 Malcador Annihilator
752,1,1 Malcador Defender
753,1,1 Malcador
754,1,1 Malcador Infernus
755,1,1 Manticore Platform
756,1,1 Medusa Carriage
757,1,1-3 Rapier Laser Destroyers
758,1,1-2 Sabre Gun Platforms
759,1,1 Sentinel Powerlifter
760,1,1 Stygies Destroyer Tank Hunter
762,1,1-3 Tarantula Sentry Guns
763,1,1 Stormblade
764,1,1 Arkurian Stormhammer
766,1,1 Crassus
767,1,1 Dominus Armoured Siege Bombard
768,1,1 Gorgon Heavy Transport
769,1,1 Macharius
770,1,1 Macharius Omega
771,1,1 Macharius Vanquisher
772,1,1 Macharius Vulcan
773,1,1 Marauder Bomber
774,1,1 Marauder Destroyer
775,1,1 Minotaur
776,1,1 Praetor
777,1,1 Valdor
778,1,1 Aquila Lander
779,1,1 Arvus Lighter
780,1,1 Avenger Strike Fighter
781,1,1 Voss-pattern Lightning
783,1,1 Vendetta Gunship
784,1,1 Vulture Gunship
785,1,"1 Imperial Fortress Walls (1 gate section, 2 gate tower sections, 2 tower sections and 2 wall sections)"
786,1,1 Primaris Redoubt
838,1,"1 Belisarius Cawl – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
839,1,1 Tech-Priest Dominus
840,1,1 Tech-Priest Enginseer
841,1,3-6 Kataphron Breachers
842,1,3-6 Kataphron Destroyers
843,1,5-10 Fulgurite Electro-Priests
844,1,5-10 Corpuscarii Electro-Priests
845,1,2-4 Kastelan Robots
846,1,1 Cybernetica Datasmith
847,1,4 Servitors
848,1,1 Skitarii Ranger Alpha
848,2,9 Skitarii Rangers
849,1,1 Skitarii Vanguard Alpha
849,2,9 Skitarii Vanguard
850,1,1 Sicarian Infiltrator Princeps
850,2,4-9 Sicarian Infiltrators
851,1,1 Sicarian Ruststalker Princeps
851,2,4-9 Sicarian Ruststalkers
852,1,1-3 Ironstrider Ballistarii
853,1,1-3 Sydonian Dragoons
854,1,1 Onager Dunecrawler
855,1,1 Knight Paladin
856,1,1 Knight Errant
857,1,1 Knight Warden
858,1,1 Knight Gallant
859,1,1 Knight Crusader
860,1,1 Acastus Knight Porphyrion
861,1,1 Cerastus Knight Acheron
862,1,1 Cerastus Knight Atrapos
863,1,1 Cerastus Knight Castigator
864,1,1 Cerastus Knight Lancer
865,1,1 Questoris Knight Magaera
866,1,1 Questoris Knight Styrix
867,1,1 Warhound Titan
868,1,1 Reaver Titan
869,1,1 Warlord Titan
870,1,"1 Vindicare Assassin – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
871,1,"1 Callidus Assassin – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
872,1,"1 Eversor Assassin – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
873,1,"1 Culexus Assassin – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
874,1,"1 Inquisitor Greyfax – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
875,1,"1 Inquisitor Karamazov – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
876,1,"1 Inquisitor Coteaz – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
877,1,1 Inquisitor
882,1,4-5 Custodian Guard
883,1,1 Venerable Contemptor Dreadnought
884,1,1 Venerable Land Raider
889,1,1 Primaris Psyker
894,1,2-4 Crusaders
895,1,2-4 Death Cult Assassins
896,1,3-10 Arco-flagellants
897,1,1-2 Penitent Engines
898,1,"1 Celestine – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
898,2,2 Geminae Superia
899,1,1 Canoness
900,1,1 Imagifier
901,1,1 Hospitaller
902,1,1 Dialogus
903,1,1 Sister Superior
903,2,9 Battle Sisters
904,1,1 Seraphim Superior
904,2,4-9 Seraphim
907,1,1 Repentia Superior
907,2,4-9 Sisters Repentia
908,1,1 Retributor Superior
908,2,4 Retributors
909,1,1 Dominion Superior
909,2,9 Dominions
910,1,1 Sororitas Rhino
911,1,1 Immolator
912,1,1 Exorcist
914,1,1 Bastion
917,1,1 Vengeance Weapon Battery
918,1,1 Firestorm Redoubt
919,1,1 Plasma Obliterator
920,1,1 Macro-cannon Aquila Strongpoint
921,1,1 Vortex Missile Strongpoint
922,1,1 Void Shield Generator
923,1,1 Skyshield Landing Pad
924,1,"1 Abaddon the Despoiler – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
925,1,"1 Huron Blackheart – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
926,1,"1 Cypher – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
928,1,"1 Fabius Bile – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
928,2,1 Surgeon Acolyte
929,1,1 Chaos Lord
930,1,1 Chaos Lord in Terminator Armour
931,1,1 Chaos Lord on Bike
932,1,1 Chaos Lord on Juggernaut
933,1,1 Chaos Lord on Disc of Tzeentch
934,1,1 Chaos Lord on Palanquin of Nurgle
935,1,1 Chaos Lord on Steed of Slaanesh
936,1,1 Dark Apostle
936,2,2 Dark Disciples
937,1,1 Heretic Astartes Daemon Prince
938,1,1 Sorcerer
939,1,1 Sorcerer in Terminator Armour
940,1,1 Sorcerer on Bike
941,1,1 Sorcerer on Disc of Tzeentch
942,1,1 Sorcerer on Palanquin of Nurgle
943,1,1 Sorcerer on Steed of Slaanesh
944,1,1 Warpsmith
946,1,1 Cultist Champion
946,2,9-19 Chaos Cultists
947,1,1 Terminator Champion
947,2,4-9 Chaos Terminators
952,1,1 Chosen Champion
952,2,4-9 Chosen
953,1,1 Possessed Champion
953,2,4-9 Possessed
954,1,1 Helbrute
955,1,3 Mutilators
956,1,1 Chaos Rhino
957,1,1 Biker Champion
957,2,2-5 Chaos Bikers
958,1,1 Raptor Champion
958,2,4-9 Raptors
959,1,1 Warp Talon Champion
959,2,4-9 Warp Talons
960,1,2 Chaos Spawn
961,1,1 Heldrake
962,1,1 Chaos Land Raider
963,1,1 Chaos Predator Destructor
964,1,1 Chaos Vindicator
965,1,2 Obliterators
966,1,1 Havoc Champion
966,2,4 Havocs
967,1,1 Forgefiend
968,1,1 Maulerfiend
969,1,1 Defiler
970,1,1 Khorne Lord of Skulls
1016,1,1 Sorcerer
1017,1,1 Sorcerer In Terminator Armour
1020,1,1 Aspiring Sorcerer
1020,2,4-9 Rubric Marines
1021,1,1 Helbrute
1022,1,1 Chaos Rhino
1023,1,2 Chaos Spawn
1024,1,1 Heldrake
1025,1,1 Chaos Land Raider
1026,1,1 Chaos Predator Destructor
1027,1,1 Chaos Vindicator
1028,1,1 Forgefiend
