datasheet_id,line,button,description
70,1,•,"1 Tactical Marine’s boltgun can be replaced with one of the following:<br><ul style=""list-style-type:circle""><li>1 flamer</li><li>1 heavy bolter</li><li>1 grav-cannon</li><li>1 grav-gun</li><li>1 lascannon</li><li>1 meltagun</li><li>1 missile launcher</li><li>1 multi-melta</li><li>1 plasma cannon</li><li>1 plasma gun</li></ul>"
70,2,•,"1 Tactical Marine’s boltgun can be replaced with one of the following:<br><ul style=""list-style-type:circle""><li>1 flamer</li><li>1 grav-gun</li><li>1 meltagun</li><li>1 plasma gun</li></ul>"
70,3,•,"The Tactical Sergeant’s bolt pistol and boltgun can be replaced with 1 twin lightning claws, or two different weapons from the following list:* <br><ul style=""list-style-type:circle""><li>1 Astartes chainsword</li><li>1 bolt pistol</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"
70,4,*,* This model can only be equipped with two ranged weapons if one of them is a Pistol (and it can only have one Pistol).
71,1,•,"The Bladeguard Veteran Sergeant’s heavy bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 neo-volkite pistol</li><li>1 plasma pistol</li></ul>"
72,1,•,None
73,1,•,"This model’s bolt pistol, master-crafted bolter and close combat weapon can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 heavy bolt pistol and 1 power fist </li><li>1 heavy bolt pistol and 1 master-crafted power weapon </li><li>1 neo-volkite pistol and 1 power fist </li><li>1 neo-volkite pistol and 1 master-crafted power weapon </li><li>1 plasma pistol and 1 power fist </li><li>1 plasma pistol and 1 master-crafted power weapon </li><li>1 heavy bolt pistol, 1 master-crafted power weapon and 1 relic shield</li></ul>"
73,2,•,"This model’s close combat weapon can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 master-crafted power weapon </li><li>1 power fist</li></ul>"
79,1,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 combi-weapon</li><li>1 storm bolter</li></ul>"
83,1,•,"This model’s heavy bolt pistol can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 plasma pistol </li><li>1 hand flamer </li></ul>"
83,2,•,"This model’s Astartes chainsword can be replaced with one of the following: <br><ul style=""list-style-type:circle""><li>1 power fist </li><li>1 relic weapon</li></ul>"
83,3,•,This model’s heavy bolt pistol and Astartes chainsword can be replaced with 1 thunder hammer and 1 relic shield.
84,1,•,"This model’s skyhammer missile launcher can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin heavy bolter</li><li>1 typhoon missile launcher</li></ul>"
84,2,•,This model’s las-talon can be replaced with 1 Icarus stormcannon.
85,1,•,This model can be equipped with 1 hunter-killer missile.
86,1,•,Any number of models can each have their twin Firestrike las-talon replaced with 1 twin Firestrike autocannon.
92,1,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 lascannons</li></ul>"
92,2,•,This model can be equipped with 1 hunter-killer missile.
92,3,•,This model can be equipped with 1 storm bolter.
93,1,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 lascannons</li></ul>"
93,2,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter</li><li>1 heavy flamer</li><li>1 multi-melta</li><li>1 storm bolter</li></ul>"
95,1,•,None
96,1,•,None
97,1,•,This model’s Hammerfall heavy bolter array can be replaced with 1 Hammerfall heavy flamer array.
98,1,•,This model’s twin heavy bolter replaced with 1 twin lascannon.
99,1,•,None
103,1,•,"For every 3 models in this unit, 1 Eradicator’s melta rifle can be replaced with 1 multi-melta."
104,1,•,"The Relic Terminator Sergeant’s combi-bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 plasma blaster</li><li>1 volkite charger</li></ul>"
104,2,•,"For every 5 models in this unit, 1 Relic Terminator’s combi-bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy flamer</li><li>1 reaper autocannon</li></ul>"
104,3,•,"For every 5 models in this unit, 1 model can be equipped with 1 grenade harness."
104,4,•,Any number of models can each have their power fist replaced with 1 power weapon.
104,5,•,Any number of models can each have their power fist replaced with one 1 chainfist.
104,6,•,Any number of models can each have their combi-bolter and power fist replaced with 1 twin lightning claws.
107,1,•,This model’s javelin missile launcher can be replaced with 2 lascannons
107,2,•,This model’s heavy bolter can be replaced with 1 multi-melta.
107,3,•,This model can be equipped with up to 2 hunter-killer missiles.
110,1,•,"This model’s quad heavy bolter can be replaced with one of the following<ul style=""list-style-type:circle""><li>1 graviton cannon</li><li>1 laser destroyer</li><li>1 quad launcher</li></ul>"
111,1,•,"This model’s 2 twin heavy bolters can be replaced with one of the following:<ul style=""list-style-type:circle""><li>2 assault cannons</li><li>2 Dreadnought inferno cannons</li><li>2 heavy plasma cannons</li><li>2 missile launchers</li><li>2 multi-meltas</li><li>2 twin autocannons</li><li>2 twin lascannons</li></ul>"
112,1,•,"This model’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li></ul>"
113,1,•,"This model’s twin heavy bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 twin multi-melta</li><li>1 typhoon missile launcher</li></ul>"
113,2,•,This model’s 2 twin hellstrike missile launchers can be replaced with 2 twin lascannons
115,1,•,This model’s storm bolter can be replaced with 1 relic shield.
116,1,•,"The Biker Sergeant’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Astartes chainsword</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 hand flamer</li><li>1 grav-pistol</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"
116,2,•,Any number of Space Marine Bikers can each have their bolt pistol replaced with 1 Astartes chainsword.
116,3,•,"Up to 2 Space Marine Bikers can each have their bolt pistol replaced with one of the following:<ul style=""list-style-type:circle""><li>1 flamer</li><li>1 grav-gun</li><li>1 meltagun</li><li>1 plasma gun</li><li>1 plasma pistol</li></ul>"
116,4,•,An Attack Bike’s heavy bolter can be replaced with 1 multi-melta.
117,1,•,"This model’s assault cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy plasma cannon</li><li>1 multi-melta</li><li>1 twin lascannon</li></ul>"
117,2,•,"This model’s Dreadnought combat weapon and storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 missile launcher and 1 close combat weapon</li><li>1 heavy flamer and 1 Dreadnought combat weapon</li></ul>"
118,1,•,Any number of models can each have their thunder hammer and storm shield replaced with 1 twin lightning claws.
120,1,•,"This model’s assault cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy plasma cannon</li><li>1 multi-melta</li><li>1 twin autocannon</li><li>1 twin heavy bolter</li><li>1 twin heavy flamer</li><li>1 twin lascannon</li><li>1 Dreadnought inferno cannon</li></ul>"
120,2,•,"This model’s storm bolter and Dreadnought combat weapon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy flamer and 1 Dreadnought combat weapon</li><li>1 missile launcher</li><li>1 twin autocannon </li></ul>"
122,1,•,None
123,1,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 lascannons</li></ul>"
123,2,•,This model can be equipped with 1 hunter-killer missile.
123,3,•,This model can be equipped with 1 storm bolter.
125,1,•,All models in this unit can each have their assault bolters replaced with 1 plasma exterminators.
128,1,•,1 Infiltrator can be equipped with 1 helix gauntlet.*
128,2,•,1 Infiltrator can be equipped with 1 Infiltrator comms array.*
128,3,*,* These options cannot be taken on the same model.
129,1,•,This model’s twin heavy bolter can be replaced with 1 twin lascannon.
129,2,•,This model can be equipped with 1 hunter-killer missile.
129,3,•,This model can be equipped with 1 storm bolter.
131,1,•,"Each of this model’s grav-flux bombards can be replaced with one of the following<ul style=""list-style-type:circle""><li>1 cyclonic melta lance</li><li>1 storm cannon</li><li>1 meltagun and 1 Leviathan siege claw</li><li>1 meltagun and 1 Leviathan siege drill</li></ul>"
131,2,•,This model’s 2 heavy flamers can be replaced with 2 twin volkite calivers.
131,3,•,This model can be equipped with 3 hunter-killer missiles.
132,1,•,None
134,1,•,"Up to 2 models can each have their Servitor servo-arm replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy bolter and 1 close combat weapon</li><li>1 multi-melta and 1 close combat weapon</li><li>1 plasma cannon and 1 close combat weapon</li></ul>"
135,1,•,This model’s storm bolter can be replaced with 1 combi-weapon
135,2,•,This model’s relic weapon can be replaced with 1 relic fist
136,1,•,This model’s twin heavy bolter can be replaced with 1 twin multi-melta.
136,2,•,This model’s Brutalis fists and Brutalis bolt rifles can be replaced with 1 Brutalis talons.
137,1,•,"The Scout Biker Sergeant’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Astartes chainsword</li><li>1 boltgun</li><li>1 combi-weapon</li><li>1 hand flamer</li><li>1 grav-pistol</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"
137,2,•,Any number of models can each have their twin boltgun replaced with 1 Astartes grenade launcher.
139,1,•,This model’s Thunderhawk heavy cannon can be replaced with 1 turbo-laser destructor.
139,2,•,This model’s Thunderhawk cluster bombs can be replaced with 1 hellstrike missile battery.
146,1,•,This model can be equipped with 1 hunter-killer missile.
146,2,•,This model can be equipped with 1 storm bolter.
147,1,•,"Any number of models can each have their bolt pistol replaced one of the following:<ul style=""list-style-type:circle""><li>1 storm shield</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li></ul>"
148,1,•,None
152,1,•,None
153,1,•,None
154,1,•,"This model’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 heavy flamer</li><li>1 meltagun</li></ul>"
159,1,•,"This model’s bolt pistol can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 boltgun</li><li>1 combi-weapon</li><li>1 grav-pistol</li><li>1 hand flamer</li><li>1 inferno pistol</li><li>1 plasma pistol</li><li>1 storm bolter</li></ul>"
159,2,•,"This model’s Astartes chainsword can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li><li>1 thunder hammer</li></ul>"
160,1,•,None
165,1,•,Any number of models can each have their encarmine blade replaced with 1 encarmine spear.
165,2,•,"For every 3 models in this unit, 1 model’s Angelus boltgun can be replaced with 1 inferno pistol."
165,3,•,One model can be equipped with 1 Sanguinary banner.
166,1,•,This model’s twin heavy bolter can be replaced with 1 twin multi-melta.
166,2,•,This model's blood fists and blood fist bolt rifles can be replaced with 1 blood talons.
167,1,•,"This model’s heavy frag cannon and Furioso fist can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 Blood Talons and 1 meltagun</li><li>1 twin Furioso fist and 1 meltagun</li></ul>"
167,2,•,This model’s storm bolter can be replaced with 1 heavy flamer.
167,3,•,This model’s meltagun can be replaced with 1 heavy flamer.
167,4,•,This model can be equipped with 1 magna-grapple.
168,1,•,This model's twin assault cannon can be replaced with 1 Baal flamestorm cannon.
168,2,•,This model can be equipped with 1 hunter-killer missile.
168,3,•,This model can be equipped with 1 storm bolter.
168,4,•,"This model can be equipped with one of the following<ul style=""list-style-type:circle""><li>2 heavy bolters</li><li>2 heavy flamers</li></ul>"
169,1,•,None
230,1,•,Any number of Deathwing Terminators can each have their power fist replaced with 1 chainfist.
230,2,•,"For every 5 models in this unit, 1 Deathwing Terminator can replace its storm bolter with one of the following:<ul style=""list-style-type:circle""><li>1 assault cannon</li><li>1 heavy flamer</li><li>1 plasma cannon</li><li>1 storm bolter and 1 cyclone missile launcher (this model’s storm bolter cannot be replaced)</li></ul>"
230,3,•,This unit can be equipped with 1 Watcher in the Dark.
231,1,•,The Knight Master’s great weapon of the Unforgiven can be replaced with 1 relic weapon.
231,2,•,All Deathwing Knights in this unit can each have their mace of absolution replaced with 1 power weapon.
231,3,•,This unit can be equipped with 1 Watcher in the Dark.
238,1,•,This model’s heavy bolter can be replaced with 1 assault cannon.
239,1,•,This model’s avenger mega bolter can be replaced with 1 Nephilim lascannons.
241,1,•,"For every 3 models in this unit, 1 model can replace its plasma talon with 1 Astartes grenade launcher."
242,1,•,This model’s heavy bolter can be replaced with 1 assault cannon.
243,1,•,This model can be equipped with up to 4 heavy bolters.
302,1,•,"This model’s assault cannon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>Helfrost cannon</li><li>Multi-melta</li></ul>"
303,1,•,The Blood Claw Pack Leader’s bolt pistol can be replaced with 1 plasma pistol.
303,2,•,The Blood Claw Pack Leader’s Astartes chainsword can be replaced with 1 power weapon.
305,1,•,The Grey Hunter Pack Leader’s bolt carbine can be replaced with 1 plasma pistol.
305,2,•,"The Grey Hunter Pack Leader’s Astartes chainsword can be replaced with one of the following<ul style=""list-style-type:circle""><li>1 power fist</li><li>1 power weapon</li></ul>"
308,1,•,"This model’s boltgun can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 bolt pistol</li><li>1 helfrost pistol</li></ul>"
311,1,•,Any number of models can each have their death totem replaced with 1 stormfrag auto-launcher.
318,1,•,Any number of models can each have their storm bolter replaced with 1 storm shield.
318,2,•,"For every 5 models in this unit, 1 Wolf Guard Terminator can replace its storm bolter and master-crafted power weapon with 1 assault cannon and 1 powerfist."
318,3,•,"The Wolf Guard Terminator Pack Leader’s storm bolter and master-crafted power weapon can be replaced with 1 of the following:<ul style=""list-style-type:circle""><li>1 relic greataxe</li><li>1 twin lightning claws</li></ul>"
322,1,•,"Any number of models can each have their bolt pistol replaced with one of the following:<ul style=""list-style-type:circle""><li>1 boltgun</li><li>1 storm shield</li></ul>"
322,2,•,"For every 3 models in this unit, one model’s bolt pistol can be replaced with 1 plasma pistol."
358,1,•,This model’s twin assault cannon can be replaced with 1 twin lascannon.
358,2,•,This model’s 2 Blackstar rocket launchers can be replaced with 2 stormstrike missile launchers.
358,3,•,This model can be equipped with 1 hurricane bolter.
358,4,•,"This model can be equipped with one of the following:<ul style=""list-style-type:circle""><li>1 auspex array</li><li>1 infernum halo-launcher</li></ul>"
375,1,•,"This model’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator</li><li>1 psilencer</li><li>1 psycannon</li></ul>"
376,1,•,"This model’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator</li><li>1 psilencer</li><li>1 psycannon</li></ul>"
381,1,•,"For every 5 models in this unit, 1 Grey Knight’s storm bolter and Nemesis force weapon can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator and 1 close combat weapon</li><li>1 psilencer and 1 close combat weapon</li><li>1 psycannon and 1 close combat weapon</li></ul>"
382,1,•,"For every 5 models in this unit, 1 Terminator’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator</li><li>1 psilencer</li><li>1 psycannon</li></ul>"
382,2,•,1 Terminator can have its storm bolter replaced with 1 Apothecary’s narthecium.
382,3,•,"1 Terminator’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator and 1 Ancient’s banner</li><li>1 psilencer and 1 Ancient’s banner</li><li>1 psycannon and 1 Ancient’s banner</li><li>1 storm bolter and 1 Ancient’s banner*</li></ul>"
382,4,*,* That model’s storm bolter cannot be replaced.
383,1,•,"For every 5 models in this unit, up to 2 Purifiers can each have their storm bolter and Nemesis force weapon replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator and 1 close combat weapon</li><li>1 psilencer and 1 close combat weapon</li><li>1 psycannon and 1 close combat weapon</li></ul>"
384,1,•,"For every 5 models in this unit, up to 2 Paladins can each have their storm bolter replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator</li><li>1 psilencer</li><li>1 psycannon</li></ul>"
384,2,•,1 Paladin can have its storm bolter replaced with 1 Apothecary’s narthecium.
384,3,•,"1 Paladin’s storm bolter can be replaced with one of the following:<ul style=""list-style-type:circle""><li>1 incinerator and 1 Ancient’s banner</li><li>1 psilencer and 1 Ancient’s banner</li><li>1 psycannon and 1 Ancient’s banner</li><li>1 storm bolter and 1 Ancient’s banner*</li></ul>"
384,4,*,* That model’s storm bolter cannot be replaced.
