datasheet_id,ability_id,type
292,,Datasheet
297,8338,Core
297,8346,Core
297,8350,Faction
297,,Datasheet
297,,Datasheet
302,8339,Core
302,8338,Core
302,8350,Faction
302,,Datasheet
302,,Datasheet
303,8350,Faction
303,,Datasheet
305,8350,Faction
305,,Datasheet
306,8346,Core
306,8350,Faction
306,,Datasheet
306,,Datasheet
306,,Datasheet
308,8346,Core
308,8350,Faction
308,,Datasheet
308,,Datasheet
308,,Datasheet
311,10256,Faction
311,8350,Faction
311,,Datasheet
311,,Wargear
314,8339,Core
314,8338,Core
314,10256,Faction
314,8350,Faction
314,,Datasheet
314,,Datasheet
314,,Fortification (левая колонка)
317,8343,Core
317,8346,Core
317,8350,Faction
317,,Datasheet
317,,Datasheet
318,8343,Core
318,8350,Faction
318,,Datasheet
318,,Wargear
322,8350,Faction
322,,Datasheet
322,,Wargear
323,8350,Faction
323,,Datasheet
323,,Datasheet
358,8339,Core
358,8342,Core
358,8337,Core
358,8521,Faction
358,8350,Faction
358,,Datasheet
358,,Wargear
358,,Wargear
374,8343,Core
374,8346,Core
374,10345,Faction
374,,Datasheet
374,,Datasheet
375,8343,Core
375,8346,Core
375,10345,Faction
375,,Datasheet
375,,Datasheet
376,8343,Core
376,8346,Core
376,10345,Faction
376,,Datasheet
376,,Datasheet
379,8343,Core
379,8346,Core
379,10345,Faction
379,,Datasheet
379,,Datasheet
380,8343,Core
380,8346,Core
380,10345,Faction
380,,Datasheet
380,,Datasheet
381,8343,Core
381,8344,Core
381,10345,Faction
381,,Datasheet
382,8343,Core
382,10345,Faction
382,,Datasheet
382,,Wargear
382,,Wargear
383,8343,Core
383,10345,Faction
383,,Datasheet
384,8343,Core
384,10345,Faction
384,,Datasheet
384,,Wargear
384,,Wargear
387,8343,Core
387,10345,Faction
387,,Datasheet
388,8343,Core
388,10345,Faction
388,,Datasheet
389,8339,Core
389,8343,Core
389,10345,Faction
389,,Datasheet
390,8339,Core
390,,Datasheet
391,8339,Core
391,,Datasheet
391,,Wargear profile
392,8339,Core
392,,Datasheet
392,,Wargear profile
393,8339,Core
393,,Datasheet
393,,Wargear profile
395,8339,Core
395,,Datasheet
395,,Wargear profile
396,8339,Core
396,8334,Core
396,,Datasheet
396,,Wargear profile
398,8339,Core
398,8342,Core
398,,Datasheet
399,8343,Core
399,8346,Core
399,10345,Faction
399,,Datasheet
399,,Datasheet
399,,Datasheet
400,8339,Core
400,8343,Core
400,10345,Faction
400,,Datasheet
402,8343,Core
402,8346,Core
402,8439,Faction
402,,Datasheet
402,,Wargear
402,,Wargear
402,,Wargear
403,8343,Core
404,8346,Core
404,8439,Faction
404,,Wargear
404,,Datasheet
404,,Datasheet
405,8346,Core
405,8439,Faction
405,,Datasheet
405,,Datasheet
406,8343,Core
406,8346,Core
406,8439,Faction
406,,Datasheet
406,,Datasheet
406,,Special (правая колонка)
407,8345,Core
407,8336,Core
407,8337,Core
407,8439,Faction
407,,Wargear
407,,Datasheet
407,,Wargear
407,,Datasheet
407,,Special (правая колонка)
408,8346,Core
408,,Datasheet
408,,Datasheet
409,8336,Core
409,,Datasheet
409,,Datasheet
409,,Datasheet
410,8345,Core
410,8346,Core
410,8344,Core
410,8439,Faction
410,,Datasheet
410,,Datasheet
411,8439,Faction
411,,Datasheet
411,,Datasheet
412,8439,Faction
412,,Datasheet
412,,Datasheet
413,8344,Core
413,8337,Core
413,,Datasheet
413,,Special (правая колонка)
414,8344,Core
414,,Datasheet
415,8344,Core
415,8337,Core
415,,Datasheet
415,,Datasheet
417,8345,Core
417,8337,Core
417,8439,Faction
417,,Wargear
417,,Wargear
417,,Datasheet
418,8343,Core
418,8439,Faction
418,,Wargear
418,,Wargear
418,,Wargear
418,,Datasheet
420,8339,Core
420,8345,Core
420,8336,Core
420,8337,Core
420,8439,Faction
420,,Wargear
420,,Datasheet
421,8339,Core
421,8439,Faction
421,,Datasheet
421,,Datasheet
421,,Datasheet
422,8344,Core
422,8439,Faction
422,,Datasheet
422,,Wargear
422,,Wargear
422,,Wargear
423,8339,Core
423,8344,Core
423,8439,Faction
423,,Datasheet
423,,Wargear profile
424,8339,Core
424,8439,Faction
424,,Datasheet
424,,Wargear profile
425,8339,Core
425,8439,Faction
425,,Datasheet
425,,Wargear profile
426,8339,Core
426,8439,Faction
426,,Datasheet
426,,Wargear profile
427,8343,Core
427,,Datasheet
427,,Wargear
428,8345,Core
428,8336,Core
428,8337,Core
428,8439,Faction
428,,Datasheet
430,8339,Core
430,8439,Faction
430,,Datasheet
430,,Datasheet
431,8339,Core
431,8439,Faction
431,,Datasheet
431,,Datasheet
431,,Datasheet
431,,Wargear profile
432,8339,Core
432,8439,Faction
432,,Datasheet
432,,Datasheet
432,,Wargear profile
433,8439,Faction
433,,Datasheet
433,,Wargear
433,,Wargear profile
434,8339,Core
434,8439,Faction
434,,Datasheet
434,,Datasheet
434,,Datasheet
435,8339,Core
435,8334,Core
435,,Datasheet
435,,Datasheet
435,,Datasheet
436,8339,Core
436,8334,Core
436,,Datasheet
436,,Datasheet
436,,Datasheet
437,8339,Core
437,8334,Core
437,,Datasheet
437,,Datasheet
439,8343,Core
439,8346,Core
439,8439,Faction
439,,Wargear
439,,Datasheet
439,,Datasheet
443,8343,Core
443,8439,Faction
443,,Wargear
443,,Wargear
443,,Wargear
443,,Datasheet
444,8339,Core
444,8439,Faction
444,,Datasheet
444,,Datasheet
444,,Datasheet
445,8339,Core
445,8439,Faction
445,,Datasheet
445,,Datasheet
445,,Datasheet
446,8339,Core
446,8439,Faction
446,,Datasheet
446,,Datasheet
447,8339,Core
447,8345,Core
447,8439,Faction
447,,Datasheet
448,8339,Core
448,8344,Core
448,8439,Faction
448,,Datasheet
449,,Datasheet
449,,Wargear
452,8345,Core
452,8337,Core
452,8439,Faction
452,,Datasheet
452,,Wargear profile
453,8339,Core
453,8439,Faction
453,,Datasheet
453,,Wargear profile
454,8339,Core
454,8439,Faction
454,,Wargear
454,,Datasheet
454,,Wargear profile
455,8339,Core
455,8439,Faction
455,,Datasheet
455,,Wargear profile
456,8339,Core
456,8342,Core
456,8439,Faction
456,,Datasheet
457,8339,Core
457,8342,Core
457,8439,Faction
457,,Datasheet
457,,Datasheet
457,,Wargear profile
458,,Datasheet
458,,Datasheet
458,,Datasheet
459,,Datasheet
459,,Datasheet
459,,Datasheet
460,8339,Core
460,8346,Core
460,707,Faction
460,705,Faction
460,,Datasheet
460,,Datasheet
461,8339,Core
461,8346,Core
461,707,Faction
461,705,Faction
461,,Datasheet
461,,Datasheet
461,,Datasheet
462,8338,Core
462,8346,Core
462,705,Faction
462,,Datasheet
462,,Datasheet
463,8346,Core
463,8344,Core
463,705,Faction
463,707,Faction
463,,Datasheet
463,,Datasheet
465,8339,Core
465,707,Faction
465,705,Faction
465,,Datasheet
465,,Datasheet
467,8344,Core
467,705,Faction
467,,Datasheet
468,705,Faction
468,,Datasheet
469,705,Faction
469,,Datasheet
470,8343,Core
470,705,Faction
470,,Datasheet
471,705,Faction
471,,Datasheet
472,705,Faction
472,,Datasheet
473,8340,Core
473,8345,Core
473,8336,Core
473,8337,Core
473,705,Faction
473,,Datasheet
473,,Datasheet
474,8339,Core
474,707,Faction
474,705,Faction
474,,Datasheet
475,707,Faction
475,705,Faction
475,,Datasheet
475,,Datasheet
476,8337,Core
476,705,Faction
476,,Datasheet
477,8339,Core
477,705,Faction
477,,Datasheet
478,8339,Core
478,705,Faction
478,,Datasheet
479,8340,Core
479,8345,Core
479,8336,Core
479,8337,Core
479,705,Faction
479,,Datasheet
479,,Datasheet
479,,Special (правая колонка)
482,8343,Core
482,705,Faction
482,,Datasheet
483,8343,Core
483,705,Faction
483,,Datasheet
484,8343,Core
484,705,Faction
484,,Datasheet
485,8339,Core
485,8342,Core
485,705,Faction
485,,Datasheet
486,8339,Core
486,8342,Core
486,705,Faction
486,,Datasheet
487,8343,Core
487,705,Faction
487,,Datasheet
487,,Datasheet
488,8343,Core
488,705,Faction
488,,Datasheet
488,,Datasheet
489,8339,Core
489,8343,Core
489,705,Faction
489,,Datasheet
490,8339,Core
490,705,Faction
490,,Datasheet
491,8339,Core
491,705,Faction
491,,Datasheet
493,8343,Core
493,705,Faction
493,,Datasheet
494,8343,Core
494,705,Faction
494,,Datasheet
495,8339,Core
495,705,Faction
495,,Datasheet
496,8339,Core
496,705,Faction
496,,Datasheet
497,8339,Core
497,705,Faction
497,,Datasheet
497,,Datasheet
498,8339,Core
498,705,Faction
498,,Datasheet
498,,Datasheet
499,8346,Core
499,8337,Core
499,707,Faction
499,705,Faction
499,,Datasheet
499,,Datasheet
500,8339,Core
500,705,Faction
500,,Datasheet
503,8339,Core
503,705,Faction
503,,Datasheet
504,8339,Core
504,8342,Core
504,705,Faction
504,,Datasheet
505,8339,Core
505,705,Faction
505,,Datasheet
505,,Datasheet
506,8339,Core
506,705,Faction
506,,Datasheet
507,8343,Core
507,8345,Core
507,8346,Core
507,,Datasheet
507,,Datasheet
507,,Datasheet
507,,Special (правая колонка)
508,8343,Core
508,8346,Core
508,,Datasheet
508,,Datasheet
508,,Datasheet
509,8343,Core
509,8346,Core
509,,Datasheet
509,,Datasheet
510,8343,Core
510,8346,Core
510,8344,Core
510,,Datasheet
510,,Datasheet
511,8343,Core
511,8501,Faction
511,,Datasheet
511,,Wargear
512,8343,Core
512,8501,Faction
512,,Datasheet
512,,Wargear
513,8343,Core
513,8338,Core
513,8344,Core
513,8501,Faction
513,,Datasheet
513,,Wargear
514,8343,Core
514,8338,Core
514,8501,Faction
514,,Datasheet
515,8343,Core
515,8345,Core
515,8501,Faction
515,,Datasheet
516,8339,Core
516,8334,Core
516,,Datasheet
521,8339,Core
521,8334,Core
521,,Datasheet
522,8346,Core
522,8369,Faction
522,,Datasheet
522,,Datasheet
523,8346,Core
523,8369,Faction
523,,Wargear
523,,Datasheet
523,,Datasheet
523,,Wargear profile
524,8346,Core
524,8369,Faction
524,,Wargear
524,,Datasheet
524,,Datasheet
527,8346,Core
527,8369,Faction
527,,Datasheet
527,,Datasheet
528,8346,Core
528,8369,Faction
528,,Datasheet
528,,Datasheet
530,8346,Core
530,8369,Faction
530,,Datasheet
530,,Datasheet
531,8346,Core
531,8369,Faction
531,,Datasheet
531,,Datasheet
531,,Wargear profile
532,8346,Core
532,8369,Faction
532,,Datasheet
532,,Datasheet
533,8339,Core
533,8369,Faction
533,,Wargear
533,,Datasheet
533,,Datasheet
534,8369,Faction
534,,Datasheet
535,8369,Faction
535,,Datasheet
536,8369,Faction
536,,Wargear
536,,Datasheet
537,8343,Core
537,8369,Faction
537,,Datasheet
538,8345,Core
538,8337,Core
538,8369,Faction
538,,Datasheet
539,8343,Core
539,8369,Faction
539,,Datasheet
540,8339,Core
540,8344,Core
540,8369,Faction
540,,Datasheet
541,8339,Core
541,8338,Core
541,8369,Faction
541,,Datasheet
541,,Datasheet
541,,Special (правая колонка)
542,8339,Core
542,8337,Core
542,8338,Core
542,8369,Faction
542,,Datasheet
542,,Datasheet
542,,Special (правая колонка)
543,8339,Core
543,8369,Faction
543,,Datasheet
544,8339,Core
544,8343,Core
544,8369,Faction
544,,Datasheet
544,,Datasheet
545,8339,Core
545,8369,Faction
545,,Datasheet
546,8369,Faction
546,,Datasheet
548,8344,Core
548,8369,Faction
548,,Wargear
548,,Wargear
548,,Wargear
548,,Datasheet
551,8339,Core
551,8369,Faction
551,,Wargear
551,,Wargear
551,,Datasheet
552,8339,Core
552,8343,Core
552,8369,Faction
552,,Datasheet
553,8339,Core
553,8369,Faction
553,,Datasheet
554,8339,Core
554,8369,Faction
554,,Datasheet
555,8339,Core
555,8338,Core
555,8343,Core
555,8369,Faction
555,,Datasheet
555,,Datasheet
555,,Special (правая колонка)
555,,Special (правая колонка)
556,8339,Core
556,8369,Faction
556,,Datasheet
557,8339,Core
557,8343,Core
557,8369,Faction
557,,Datasheet
558,8343,Core
558,8369,Faction
558,,Wargear
558,,Datasheet
559,8345,Core
559,8369,Faction
559,,Datasheet
560,8343,Core
560,8369,Faction
560,,Wargear
560,,Datasheet
561,8339,Core
561,8369,Faction
561,,Datasheet
562,8339,Core
562,8369,Faction
562,,Datasheet
562,,Datasheet
562,,Fortification (левая колонка)
564,8339,Core
564,8369,Faction
564,,Datasheet
567,8339,Core
567,8369,Faction
567,,Datasheet
567,,Datasheet
567,,Fortification (левая колонка)
568,8346,Core
568,9894,Faction
568,,Datasheet
568,,Datasheet
569,8346,Core
569,9894,Faction
569,,Datasheet
569,,Datasheet
570,8345,Core
570,8346,Core
570,8337,Core
570,9894,Faction
570,,Datasheet
570,,Datasheet
571,8346,Core
571,9894,Faction
571,,Datasheet
571,,Datasheet
572,8340,Core
572,8346,Core
572,9894,Faction
572,,Datasheet
572,,Datasheet
573,8345,Core
573,8346,Core
573,9894,Faction
573,,Wargear
573,,Datasheet
573,,Datasheet
574,8346,Core
574,9894,Faction
574,,Datasheet
574,,Datasheet
575,8343,Core
575,8346,Core
575,9894,Faction
575,,Datasheet
575,,Datasheet
576,8346,Core
576,9894,Faction
576,,Datasheet
576,,Datasheet
577,8346,Core
577,9894,Faction
577,,Datasheet
577,,Datasheet
577,,Fortification (левая колонка)
580,8346,Core
580,9894,Faction
580,,Datasheet
580,,Datasheet
581,8339,Core
581,9894,Faction
581,,Datasheet
581,,Datasheet
582,8346,Core
582,9894,Faction
582,,Datasheet
582,,Datasheet
583,8346,Core
583,9894,Faction
583,,Datasheet
583,,Datasheet
584,8346,Core
584,9894,Faction
584,,Datasheet
584,,Datasheet
585,8346,Core
585,9894,Faction
585,,Datasheet
585,,Datasheet
587,8346,Core
587,9894,Faction
587,,Datasheet
587,,Datasheet
588,8337,Core
588,9894,Faction
588,,Datasheet
588,,Datasheet
588,,Datasheet
589,9894,Faction
589,,Datasheet
589,,Datasheet
590,9894,Faction
590,,Datasheet
590,,Datasheet
590,,Wargear
591,9894,Faction
591,,Datasheet
592,8345,Core
592,8337,Core
592,9894,Faction
592,,Datasheet
593,9894,Faction
593,,Datasheet
593,,Wargear
593,,Wargear
594,8340,Core
594,9894,Faction
594,,Datasheet
594,,Wargear
595,8345,Core
595,8344,Core
595,8337,Core
595,9894,Faction
595,,Datasheet
595,,Wargear
596,9894,Faction
596,,Datasheet
596,,Wargear
597,,Datasheet
597,,Datasheet
598,,Datasheet
598,,Datasheet
598,,Wargear
599,8339,Core
599,9894,Faction
599,,Datasheet
600,8343,Core
600,9894,Faction
600,,Datasheet
600,,Wargear
601,8343,Core
601,9894,Faction
601,,Datasheet
601,,Wargear
602,9894,Faction
602,,Datasheet
602,,Wargear
603,,Datasheet
605,8339,Core
605,9894,Faction
605,,Datasheet
606,,Datasheet
607,9894,Faction
607,,Datasheet
607,,Wargear
609,8339,Core
609,8343,Core
609,9894,Faction
609,,Datasheet
610,8339,Core
610,9894,Faction
610,,Datasheet
610,,Wargear profile
611,8339,Core
611,9894,Faction
611,,Datasheet
612,8344,Core
612,9894,Faction
612,,Datasheet
613,8339,Core
613,,Datasheet
613,,Datasheet
614,8339,Core
614,9894,Faction
614,,Datasheet
614,,Datasheet
614,,Wargear
615,8343,Core
615,8337,Core
615,9894,Faction
615,,Datasheet
616,8343,Core
616,9894,Faction
616,,Datasheet
617,8339,Core
617,9894,Faction
617,,Datasheet
618,8339,Core
618,9894,Faction
618,,Datasheet
619,8339,Core
619,9894,Faction
619,,Datasheet
620,8339,Core
620,9894,Faction
620,,Datasheet
621,8339,Core
621,9894,Faction
621,,Datasheet
622,8339,Core
622,9894,Faction
622,,Datasheet
623,8342,Core
623,9894,Faction
623,,Datasheet
624,8339,Core
624,9894,Faction
624,,Datasheet
625,8339,Core
625,8342,Core
625,9894,Faction
625,,Datasheet
626,8339,Core
626,8342,Core
626,9894,Faction
626,,Datasheet
627,8339,Core
627,8343,Core
627,9894,Faction
627,,Datasheet
627,,Datasheet
627,,Wargear
628,8339,Core
628,9894,Faction
628,,Datasheet
628,,Datasheet
628,,Datasheet
629,8344,Core
629,,Datasheet
630,8343,Core
630,8346,Core
630,8337,Core
630,9894,Faction
630,,Datasheet
630,,Datasheet
631,8339,Core
631,9894,Faction
631,,Datasheet
631,,Datasheet
631,,Datasheet
632,,Datasheet
632,,Special (правая колонка)
633,8343,Core
633,,Datasheet
634,8346,Core
634,8507,Faction
634,,Datasheet
634,,Datasheet
639,8346,Core
639,8507,Faction
639,,Datasheet
639,,Datasheet
640,8340,Core
640,8346,Core
640,8507,Faction
640,,Datasheet
640,,Datasheet
641,8338,Core
641,8346,Core
641,8507,Faction
641,,Datasheet
641,,Datasheet
642,8338,Core
642,8346,Core
642,8507,Faction
642,,Datasheet
642,,Datasheet
642,,Wargear profile
643,8346,Core
643,8507,Faction
643,,Datasheet
643,,Datasheet
644,8507,Faction
644,,Wargear
644,,Datasheet
646,8507,Faction
646,,Datasheet
646,,Wargear
648,8507,Faction
648,,Datasheet
